Date,Price,Volume,Opening,Min,Max,ticker,settlement,instrument_type,currency,variacion_diaria
2023-01-02 00:00:00-03:00,34.3,0.0,34.3,34.3,34.3,TEND,A-24HS,CEDEARS,USD,
2023-01-03 00:00:00-03:00,34.3,0.0,34.3,34.3,34.3,TEND,A-24HS,CEDEARS,USD,0.0
2023-01-04 00:00:00-03:00,33.75,33.75,33.75,33.75,33.75,TEND,A-24HS,CEDEARS,USD,-1.60349854227404
2023-01-05 00:00:00-03:00,33.75,0.0,33.75,33.75,33.75,TEND,A-24HS,CEDEARS,USD,0.0
2023-01-06 00:00:00-03:00,33.75,0.0,33.75,33.75,33.75,TEND,A-24HS,CEDEARS,USD,0.0
2023-01-09 00:00:00-03:00,33.75,0.0,33.75,33.75,33.75,TEND,A-24HS,CEDEARS,USD,0.0
2023-01-10 00:00:00-03:00,33.75,0.0,33.75,33.75,33.75,TEND,A-24HS,CEDEARS,USD,0.0
2023-01-11 00:00:00-03:00,33.75,0.0,33.75,33.75,33.75,TEND,A-24HS,CEDEARS,USD,0.0
2023-01-12 00:00:00-03:00,33.75,0.0,33.75,33.75,33.75,TEND,A-24HS,CEDEARS,USD,0.0
2023-01-13 00:00:00-03:00,33.75,0.0,33.75,33.75,33.75,TEND,A-24HS,CEDEARS,USD,0.0
2023-01-16 00:00:00-03:00,35.0,5458.8,35.0,34.8,35.0,TEND,A-24HS,CEDEARS,USD,3.703703703703698
2023-01-17 00:00:00-03:00,37.0,8059.7,36.5,36.2,37.0,TEND,A-24HS,CEDEARS,USD,5.714285714285716
2023-01-18 00:00:00-03:00,37.1,445.2,37.1,37.1,37.1,TEND,A-24HS,CEDEARS,USD,0.2702702702702675
2023-01-19 00:00:00-03:00,37.5,337.5,37.5,37.5,37.5,TEND,A-24HS,CEDEARS,USD,1.0781671159029615
2023-01-20 00:00:00-03:00,37.4,374.0,37.5,37.5,37.5,TEND,A-24HS,CEDEARS,USD,-0.2666666666666706
2023-01-23 00:00:00-03:00,37.4,0.0,37.5,37.5,37.5,TEND,A-24HS,CEDEARS,USD,0.0
2023-01-24 00:00:00-03:00,37.4,0.0,37.5,37.5,37.5,TEND,A-24HS,CEDEARS,USD,0.0
2023-01-25 00:00:00-03:00,36.0,72.0,36.0,36.0,36.0,TEND,A-24HS,CEDEARS,USD,-3.743315508021383
2023-01-26 00:00:00-03:00,36.0,0.0,36.0,36.0,36.0,TEND,A-24HS,CEDEARS,USD,0.0
2023-01-27 00:00:00-03:00,36.0,0.0,36.0,36.0,36.0,TEND,A-24HS,CEDEARS,USD,0.0
2023-01-30 00:00:00-03:00,36.0,0.0,36.0,36.0,36.0,TEND,A-24HS,CEDEARS,USD,0.0
2023-01-31 00:00:00-03:00,36.0,0.0,36.0,36.0,36.0,TEND,A-24HS,CEDEARS,USD,0.0
2023-02-01 00:00:00-03:00,36.0,2772.0,36.0,36.0,36.0,TEND,A-24HS,CEDEARS,USD,0.0
2023-02-02 00:00:00-03:00,35.5,106.5,35.5,35.5,35.5,TEND,A-24HS,CEDEARS,USD,-1.388888888888884
2023-02-03 00:00:00-03:00,35.5,177.5,35.5,35.5,35.5,TEND,A-24HS,CEDEARS,USD,0.0
2023-02-06 00:00:00-03:00,35.5,0.0,35.5,35.5,35.5,TEND,A-24HS,CEDEARS,USD,0.0
2023-02-07 00:00:00-03:00,35.5,0.0,35.5,35.5,35.5,TEND,A-24HS,CEDEARS,USD,0.0
