0
nombre_AAPLD
nombre_DESPD
nombre_KOD
nombre_MELID
nombre_MSFTD
nombre_NVDAD
nombre_TEND
nombre_VISTD
nombre_XOMD
precio_cierre
volumen_operado
suma_score_sentimiento_positivas
volumen_media_7d
retorno_5d
sentimiento_volatilidad
