nombre_empresa,fecha_cotizacion,variacion_total_cotizacion,total_noticias_negativas,suma_score_sentimiento_negativas,total_noticias_positivas,suma_score_sentimiento_positivas
AAPLD,2023-05-31 03:00:00,-0.05,"0",,"0",
AAPLD,2023-06-01 03:00:00,"0.15","0",,"0",
AAPLD,2023-06-02 03:00:00,"0.05","0",,"0",
AAPLD,2023-06-05 03:00:00,-0.25,"0",,"0",
AAPLD,2023-06-06 03:00:00,-0.55,"0",,"0",
AAPLD,2023-06-07 03:00:00,-0.75,"0",,"0",
AAPLD,2023-06-08 03:00:00,"-0.10","0",,"0",
AAPLD,2023-06-09 03:00:00,"0.45","0",,"0",
AAPLD,2023-06-12 03:00:00,"0.40","0",,"0",
AAPLD,2023-06-13 03:00:00,"-0.10","0",,"0",
AAPLD,2023-06-14 03:00:00,-0.25,"0",,"0",
AAPLD,2023-06-15 03:00:00,"0.10","0",,"0",
AAPLD,2023-06-16 03:00:00,-0.05,"0",,"0",
AAPLD,2023-06-21 03:00:00,"0.60","0",,"0",
AAPLD,2023-06-22 03:00:00,"0.10","0",,"0",
AAPLD,2023-06-23 03:00:00,-0.15,"0",,"0",
AAPLD,2023-06-26 03:00:00,"-0.30","0",,"0",
AAPLD,2023-06-27 03:00:00,"0.05","0",,"0",
AAPLD,2023-06-28 03:00:00,-0.05,"0",,"0",
AAPLD,2023-06-29 03:00:00,"-0.10","0",,"0",
AAPLD,2023-06-30 03:00:00,"0.35","0",,"0",
AAPLD,2023-07-03 03:00:00,"0.30","0",,"0",
AAPLD,2023-07-04 03:00:00,"-0.30","0",,"0",
AAPLD,2023-07-05 03:00:00,-0.55,"0",,"0",
AAPLD,2023-07-06 03:00:00,"0.25","0",,"0",
AAPLD,2023-07-07 03:00:00,-0.05,"0",,"0",
AAPLD,2023-07-10 03:00:00,"-0.60","0",,"0",
AAPLD,2023-07-11 03:00:00,"-0.40","0",,"0",
AAPLD,2023-07-12 03:00:00,-0.15,"0",,"0",
AAPLD,2023-07-13 03:00:00,"-0.40","0",,"0",
AAPLD,2023-07-14 03:00:00,-0.15,"0",,"0",
AAPLD,2023-07-17 03:00:00,"0.10","0",,"0",
AAPLD,2023-07-18 03:00:00,"0.35","0",,"0",
AAPLD,2023-07-19 03:00:00,-0.15,"0",,"0",
AAPLD,2023-07-20 03:00:00,-0.45,"0",,"0",
AAPLD,2023-07-21 03:00:00,"0.10","0",,"0",
AAPLD,2023-07-24 03:00:00,-0.45,"0",,"0",
AAPLD,2023-07-25 03:00:00,-0.15,"0",,"0",
AAPLD,2023-07-26 03:00:00,"-0.40","0",,"0",
AAPLD,2023-07-27 03:00:00,-0.45,"0",,"0",
AAPLD,2023-07-28 03:00:00,-0.05,"0",,"0",
AAPLD,2023-07-31 03:00:00,"-0.20","0",,"0",
AAPLD,2023-08-01 03:00:00,"-0.10","0",,"0",
AAPLD,2023-08-02 03:00:00,"-0.40","0",,"0",
AAPLD,2023-08-03 03:00:00,-0.25,"0",,"0",
AAPLD,2023-08-04 03:00:00,"-0.80","0",,"0",
AAPLD,2023-08-07 03:00:00,-0.65,"0",,"0",
AAPLD,2023-08-08 03:00:00,"0.20","0",,"0",
AAPLD,2023-08-09 03:00:00,-0.35,"0",,"0",
AAPLD,2023-08-10 03:00:00,"-0.10","0",,"0",
AAPLD,2023-08-11 03:00:00,"-0.10","0",,"0",
AAPLD,2023-08-14 03:00:00,"0.00","0",,"0",
AAPLD,2023-08-15 03:00:00,-0.25,"0",,"0",
AAPLD,2023-08-16 03:00:00,-0.45,"0",,"0",
AAPLD,2023-08-17 03:00:00,"0.00","0",,"0",
AAPLD,2023-08-18 03:00:00,"0.10","0",,"0",
AAPLD,2023-08-22 03:00:00,"0.60","0",,"0",
AAPLD,2023-08-23 03:00:00,"0.80","0",,"0",
AAPLD,2023-08-24 03:00:00,"-0.70","0",,"0",
AAPLD,2023-08-25 03:00:00,"-0.10","0",,"0",
AAPLD,2023-08-28 03:00:00,"0.05","0",,"0",
AAPLD,2023-08-29 03:00:00,"0.05","0",,"0",
AAPLD,2023-08-30 03:00:00,"-0.10","0",,"0",
AAPLD,2023-08-31 03:00:00,-0.35,"0",,"0",
AAPLD,2023-09-01 03:00:00,"0.40","0",,"0",
AAPLD,2023-09-04 03:00:00,"0.30","0",,"0",
AAPLD,2023-09-05 03:00:00,"-0.10","0",,"0",
AAPLD,2023-09-06 03:00:00,"-0.60","0",,"0",
AAPLD,2023-09-07 03:00:00,"-0.40","0",,"0",
AAPLD,2023-09-08 03:00:00,"0.25","0",,"0",
AAPLD,2023-09-11 03:00:00,"0.20","0",,"0",
AAPLD,2023-09-12 03:00:00,"-0.10","0",,"0",
AAPLD,2023-09-13 03:00:00,"-0.20","0",,"0",
AAPLD,2023-09-14 03:00:00,"0.15","0",,"0",
AAPLD,2023-09-15 03:00:00,-0.25,"0",,"0",
AAPLD,2023-09-18 03:00:00,-0.25,"0",,"0",
AAPLD,2023-09-19 03:00:00,"-0.10","0",,"0",
AAPLD,2023-09-20 03:00:00,"-0.50","0",,"0",
AAPLD,2023-09-21 03:00:00,-0.05,"0",,"0",
AAPLD,2023-09-22 03:00:00,"-0.50","0",,"0",
AAPLD,2023-09-25 03:00:00,"0.00","0",,"0",
AAPLD,2023-09-26 03:00:00,-0.25,"0",,"0",
AAPLD,2023-09-27 03:00:00,"-0.20","0",,"0",
AAPLD,2023-09-28 03:00:00,"0.20","0",,"0",
AAPLD,2023-09-29 03:00:00,"-0.40","0",,"0",
AAPLD,2023-10-02 03:00:00,-0.45,"0",,"0",
AAPLD,2023-10-03 03:00:00,-0.45,"0",,"0",
AAPLD,2023-10-04 03:00:00,"-0.40","0",,"0",
AAPLD,2023-10-05 03:00:00,-0.05,"0",,"0",
AAPLD,2023-10-06 03:00:00,"0.05","0",,"0",
AAPLD,2023-10-09 03:00:00,-0.65,"0",,"0",
AAPLD,2023-10-10 03:00:00,"-0.20","0",,"0",
AAPLD,2023-10-11 03:00:00,-0.25,"0",,"0",
AAPLD,2023-10-12 03:00:00,"0.05","0",,"0",
AAPLD,2023-10-17 03:00:00,"0.00","0",,"0",
AAPLD,2023-10-18 03:00:00,-0.35,"0",,"0",
AAPLD,2023-10-19 03:00:00,-0.25,"0",,"0",
AAPLD,2023-10-20 03:00:00,"0.45","0",,"0",
AAPLD,2023-10-23 03:00:00,-0.85,"0",,"0",
AAPLD,2023-10-24 03:00:00,-0.15,"0",,"0",
AAPLD,2023-10-25 03:00:00,-0.75,"0",,"0",
AAPLD,2023-10-26 03:00:00,"-0.10","0",,"0",
AAPLD,2023-10-27 03:00:00,"0.30","0",,"0",
AAPLD,2023-10-30 03:00:00,"0.30","0",,"0",
AAPLD,2023-10-31 03:00:00,"-0.30","0",,"0",
AAPLD,2023-11-01 03:00:00,-0.25,"0",,"0",
AAPLD,2023-11-02 03:00:00,-0.15,"0",,"0",
AAPLD,2023-11-03 03:00:00,-0.25,"0",,"0",
AAPLD,2023-11-07 03:00:00,"0.10","0",,"0",
AAPLD,2023-11-08 03:00:00,"-0.30","0",,"0",
AAPLD,2023-11-09 03:00:00,"-0.20","0",,"0",
AAPLD,2023-11-10 03:00:00,"-0.50","0",,"0",
AAPLD,2023-11-13 03:00:00,"-0.30","0",,"0",
AAPLD,2023-11-14 03:00:00,-0.05,"0",,"0",
AAPLD,2023-11-15 03:00:00,"0.05","0",,"0",
AAPLD,2023-11-16 03:00:00,"0.30","0",,"0",
AAPLD,2023-11-17 03:00:00,"-0.10","0",,"0",
AAPLD,2023-11-21 03:00:00,-0.65,"0",,"0",
AAPLD,2023-11-22 03:00:00,"0.35","0",,"0",
AAPLD,2023-11-23 03:00:00,-0.45,"0",,"0",
AAPLD,2023-11-24 03:00:00,-0.25,"0",,"0",
AAPLD,2023-11-27 03:00:00,-0.05,"0",,"0",
AAPLD,2023-11-28 03:00:00,-0.15,"0",,"0",
AAPLD,2023-11-29 03:00:00,"-0.40","0",,"0",
AAPLD,2023-11-30 03:00:00,"-0.30","0",,"0",
AAPLD,2023-12-01 03:00:00,"0.40","0",,"0",
AAPLD,2023-12-04 03:00:00,-0.35,"0",,"0",
AAPLD,2023-12-05 03:00:00,"0.40","0",,"0",
AAPLD,2023-12-06 03:00:00,-0.05,"0",,"0",
AAPLD,2023-12-07 03:00:00,"0.70","0",,"0",
AAPLD,2023-12-11 03:00:00,"-0.60","0",,"0",
AAPLD,2023-12-12 03:00:00,"0.05","0",,"0",
AAPLD,2023-12-13 03:00:00,"0.15","0",,"0",
AAPLD,2023-12-14 03:00:00,"0.10","0",,"0",
AAPLD,2023-12-15 03:00:00,"-0.10","0",,"0",
AAPLD,2023-12-18 03:00:00,"0.10","0",,"0",
AAPLD,2023-12-19 03:00:00,"-0.20","0",,"0",
AAPLD,2023-12-20 03:00:00,-0.35,"0",,"0",
AAPLD,2023-12-21 03:00:00,-0.55,"0",,"0",
AAPLD,2023-12-22 03:00:00,"0.10","0",,"0",
AAPLD,2023-12-26 03:00:00,"-0.60","0",,"0",
AAPLD,2023-12-27 03:00:00,-0.35,"0",,"0",
