id_cotizacion,id_empresa,fecha,precio_apertura,precio_cierre,precio_max,precio_min,volumen_operado,variacion_porcentaje,nombre,label,variacion_total_cotizacion,total_noticias_negativas,suma_score_sentimiento_negativas,total_noticias_positivas,suma_score_sentimiento_positivas,fecha_publicacion,valoracion_llm,tendencia_precio_5d,anio,mes,dia,dia_semana,es_fin_de_mes,variacion_porcentaje_lag_1,variacion_porcentaje_lag_2,variacion_porcentaje_lag_3,precio_cierre_lag_1,precio_cierre_lag_2,precio_cierre_lag_3,volumen_operado_lag_1,volumen_operado_lag_2,volumen_operado_lag_3,suma_score_sentimiento_positivas_lag_1,suma_score_sentimiento_positivas_lag_2,suma_score_sentimiento_positivas_lag_3,suma_score_sentimiento_negativas_lag_1,suma_score_sentimiento_negativas_lag_2,suma_score_sentimiento_negativas_lag_3,total_noticias_positivas_lag_1,total_noticias_positivas_lag_2,total_noticias_positivas_lag_3,total_noticias_negativas_lag_1,total_noticias_negativas_lag_2,total_noticias_negativas_lag_3,variacion_porcentaje_media_3d,variacion_porcentaje_std_3d,variacion_porcentaje_media_5d,variacion_porcentaje_std_5d,precio_cierre_media_3d,precio_cierre_std_3d,precio_cierre_media_5d,precio_cierre_std_5d,volumen_operado_media_3d,volumen_operado_std_3d,volumen_operado_media_5d,volumen_operado_std_5d,suma_score_sentimiento_positivas_media_3d,suma_score_sentimiento_positivas_std_3d,suma_score_sentimiento_positivas_media_5d,suma_score_sentimiento_positivas_std_5d,suma_score_sentimiento_negativas_media_3d,suma_score_sentimiento_negativas_std_3d,suma_score_sentimiento_negativas_media_5d,suma_score_sentimiento_negativas_std_5d,total_noticias_positivas_media_3d,total_noticias_positivas_std_3d,total_noticias_positivas_media_5d,total_noticias_positivas_std_5d,total_noticias_negativas_media_3d,total_noticias_negativas_std_3d,total_noticias_negativas_media_5d,total_noticias_negativas_std_5d,ratio_sent_positivo_negativo,diff_score_sentimiento,label_t_plus_1
901,10,2024-01-02,18.9,18.8,19.3,18.7,66824.55,-1.82767624020886,AAPLD,NO_SUBE,-0.1,9,-4.614,6,2.2226,2024-01-02,negative,0.11000000000000015,2024,1,2,1,0,-1.7948717948718,6.84931506849316,-2.40641711229946,19.15,19.5,18.25,42155.05,100813.65,90539.8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0755890111375004,5.000220342339851,-0.356763349110724,4.043859821270383,19.15,0.3500000000001269,18.88,0.4724933861970603,69931.08333333337,29452.431996413336,76809.78,22983.951773726014,,,,,,,,,2.0,3.4641016151377544,1.2,2.6832815729997477,3.0,5.196152422706632,1.8,4.024922359499621,-0.4817079500884157,6.8366,NO_SUBE
902,10,2024-01-03,19.0,18.8,19.15,18.25,81325.3,0.0,AAPLD,NO_SUBE,-0.2,10,-5.243,12,5.8712,2024-01-03,negative,0.040000000000000265,2024,1,3,2,0,-1.82767624020886,-1.7948717948718,6.84931506849316,18.8,19.15,19.5,66824.55,42155.05,100813.65,2.2226,,,-4.614,,,6.0,0.0,0.0,9.0,0.0,0.0,-1.207516011693553,1.0458681665394942,0.16406998422260796,3.8448449457127474,18.916666666666668,0.20207259421656126,18.9,0.46502688094341704,63434.96666666671,19803.890467427143,76331.67,22828.717269663073,,,,,,,,,6.0,6.0,3.6,5.366563145999495,6.333333333333333,5.507570547286102,3.8,5.215361924162119,-1.1198171123053808,11.1142,SUBE
903,10,2024-01-04,18.8,18.95,19.05,18.2,97707.2,0.797872340425521,AAPLD,SUBE,0.15,8,-4.7588,5,1.9421,2024-01-04,neutral,-0.14499999999999996,2024,1,4,3,0,0.0,-1.82767624020886,-1.7948717948718,18.8,18.8,19.15,81325.3,66824.55,42155.05,5.8712,2.2226,,-5.243,-4.614,,12.0,6.0,0.0,10.0,9.0,0.0,-0.34326796659444603,1.3460130051322707,0.8049278747676041,3.566235338570088,18.849999999999998,0.08660254037887533,19.04,0.2945335295003836,81952.35000000005,15450.87089883673,77765.15,24131.770183954868,3.3453,2.191984983981414,,,-4.871933333333334,0.32940797399779737,,,7.666666666666667,3.7859388972001824,4.6,4.979959839195493,9.0,1.0000000000000018,5.4,4.979959839195494,-0.4081071715783751,6.7009,NO_SUBE
904,10,2024-01-05,19.0,18.8,19.25,18.6,201923.66,-0.791556728232179,AAPLD,NO_SUBE,-0.2,9,-4.4207,6,3.5364,2024-01-05,neutral,-0.054999999999999744,2024,1,5,4,0,0.797872340425521,0.0,-1.82767624020886,18.95,18.8,18.8,97707.2,81325.3,66824.55,1.9421,5.8712,2.2226,-4.7588,-5.243,-4.614,5.0,12.0,6.0,8.0,10.0,9.0,0.0021052040644476224,0.7947166255884079,-0.7232464845774637,1.1412383775320314,18.849999999999998,0.08660254037887533,18.9,0.15411035007410329,126985.38666666672,65413.30345991215,97987.152,61580.891430651885,3.7832333333333334,1.9761456736114706,,,-4.8075,0.41330750053682824,,,7.666666666666667,3.7859388972001824,5.8,4.266145801540309,9.0,1.0000000000000018,7.2,4.08656334834051,-0.7999639875956268,7.9571000000000005,SUBE
905,10,2024-01-08,19.1,19.35,19.5,18.85,151354.09,2.92553191489362,AAPLD,SUBE,0.25,15,-7.1846,8,4.9633,2024-01-08,negative,0.11000000000000015,2024,1,8,0,0,-0.791556728232179,0.797872340425521,0.0,18.8,18.95,18.8,201923.66,97707.2,81325.3,3.5364,1.9421,5.8712,-4.4207,-4.7588,-5.243,6.0,5.0,12.0,9.0,8.0,10.0,0.9772825090289876,1.8650276141822766,0.22083425737562035,1.7971130253518883,19.033333333333335,0.28431203515401465,18.94,0.23822258499134918,150328.3166666667,52115.80174890775,119826.96,55934.66087308491,3.4806000000000004,1.5113727501844143,3.7071200000000006,1.703633689206691,-5.4547,1.5076449880525584,-5.24422,1.126506885021126,6.333333333333333,1.5275252316519474,7.4,2.792848008753788,10.666666666666666,3.7859388972001833,10.2,2.7748873851023226,-0.6908249159069282,12.1479,NO_SUBE
906,10,2024-01-09,19.5,19.25,20.0,19.1,120224.45,-0.51679586563308,AAPLD,NO_SUBE,-0.25,10,-4.9215,3,1.0322,2024-01-09,negative,0.1300000000000001,2024,1,9,1,0,2.92553191489362,-0.791556728232179,0.797872340425521,19.35,18.8,18.95,151354.09,201923.66,97707.2,4.9633,3.5364,1.9421,-7.1846,-4.4207,-4.7588,8.0,6.0,5.0,15.0,9.0,8.0,0.5390597736761206,2.0713064339950935,0.4830103322907764,1.4935262277512984,19.133333333333336,0.2929732638542684,19.03,0.25641762809907337,157834.0666666667,41233.272994712126,130506.93999999999,47789.48058003474,3.1773000000000002,1.9900003542713252,3.4690400000000006,2.0172665869934,-5.508933333333334,1.472614764061984,-5.305719999999999,1.09134444012878,5.666666666666667,2.516611478423584,6.8,3.420526275297414,11.333333333333334,3.2145502536643193,10.4,2.70185121722126,-0.2097328476547491,5.9536999999999995,SUBE
907,10,2024-01-10,19.75,19.5,19.75,19.1,115249.95,1.29870129870129,AAPLD,SUBE,-0.25,18,-9.3851,11,5.0105,2024-01-10,neutral,0.15500000000000008,2024,1,10,2,0,-0.51679586563308,2.92553191489362,-0.791556728232179,19.25,19.35,18.8,120224.45,151354.09,201923.66,1.0322,4.9633,3.5364,-4.9215,-7.1846,-4.4207,3.0,8.0,6.0,10.0,15.0,9.0,1.2358124493206102,1.722025375155309,0.7427505920310343,1.5014334926045243,19.36666666666667,0.1258305739215864,19.169999999999998,0.2885307609249756,128942.83000000003,19567.443462374453,137291.87000000002,40985.068841238004,3.6686666666666667,2.2833690729563045,3.2969,1.784308220291551,-7.163733333333333,2.231873160225135,-6.13414,2.1195600753458255,7.333333333333333,4.041451884327381,6.6,3.049590136395381,14.333333333333334,4.0414518843273814,12.0,4.301162633521314,-0.5338782254721022,14.3956,NO_SUBE
908,10,2024-01-11,19.7,19.1,19.7,19.0,131784.16,-2.05128205128204,AAPLD,NO_SUBE,-0.6,16,-9.5683,17,8.8567,2024-01-11,neutral,0.07500000000000001,2024,1,11,3,0,1.29870129870129,-0.51679586563308,2.92553191489362,19.5,19.25,19.35,115249.95,120224.45,151354.09,5.0105,1.0322,4.9633,-9.3851,-4.9215,-7.1846,11.0,3.0,8.0,18.0,10.0,15.0,-0.4231255394046096,1.6769548917019754,0.17291971368952214,1.9491827765793392,19.28333333333333,0.20207259421660986,19.2,0.2669269563006766,122419.52000000003,8482.851779308674,144107.262,35178.98663105205,4.966466666666666,3.9124358478233647,4.67982,2.839391557534818,-7.9583,2.6315406590056707,-7.0960399999999995,2.4106936964284795,10.333333333333334,7.023769168568492,9.0,5.338539126015656,14.666666666666666,4.163331998932267,13.6,3.91152144312159,-0.9256295188935879,18.425,SUBE
909,10,2024-01-12,19.4,19.3,19.5,19.05,75013.05,1.04712041884816,AAPLD,SUBE,-0.1,18,-9.888,11,5.5432,2024-01-12,neutral,-0.025000000000000005,2024,1,12,4,0,-2.05128205128204,1.29870129870129,-0.51679586563308,19.1,19.5,19.25,131784.16,115249.95,120224.45,8.8567,5.0105,1.0322,-9.5683,-9.3851,-4.9215,17.0,11.0,3.0,16.0,18.0,10.0,0.0981798887558037,1.8657339597408702,0.54065514310559,1.8944075143493402,19.3,0.20000000000024587,19.3,0.1457737973709155,107349.05333333336,29198.593438058837,118725.13999999998,28108.08633491021,6.470133333333333,2.0839188235949426,5.08118,2.778540270897652,-9.6138,0.2545187419425088,-8.189499999999999,2.115720861786831,13.0,3.4641016151377535,10.0,5.0990195135927845,17.333333333333332,1.1547005383792563,15.4,3.286335345030998,-0.5605987621964766,15.4312,SUBE
910,10,2024-01-15,19.3,19.4,19.4,19.15,74513.1,0.518134715025886,AAPLD,SUBE,0.1,3,-2.0307,5,2.2293,,,0.009999999999999789,2024,1,15,0,0,1.04712041884816,-2.05128205128204,1.29870129870129,19.3,19.1,19.5,75013.05,131784.16,115249.95,5.5432,8.8567,5.0105,-9.888,-9.5683,-9.3851,11.0,17.0,11.0,18.0,16.0,18.0,-0.16200897246933096,1.6573988788028413,0.059175703132043254,1.3701165113936098,19.26666666666667,0.1527525231655094,19.31,0.1516575088808202,93770.10333333338,32922.08780884122,103356.94200000001,26783.421288486174,5.543066666666667,3.313700002011849,4.5343800000000005,3.062087392123223,-7.162333333333334,4.446998709616785,-7.158720000000001,3.5182934587666232,11.0,5.999999999999999,9.4,5.549774770204643,12.333333333333334,8.144527815247079,13.0,6.48074069840786,-1.0977993291964985,4.26,NO_SUBE
