id_cotizacion,id_empresa,fecha,precio_apertura,precio_cierre,precio_max,precio_min,volumen_operado,variacion_porcentaje,nombre,label,variacion_total_cotizacion,total_noticias_negativas,suma_score_sentimiento_negativas,total_noticias_positivas,suma_score_sentimiento_positivas,fecha_publicacion,valoracion_llm,tendencia_precio_5d,anio,mes,dia,dia_semana,es_fin_de_mes,variacion_porcentaje_lag_1,variacion_porcentaje_lag_2,variacion_porcentaje_lag_3,precio_cierre_lag_1,precio_cierre_lag_2,precio_cierre_lag_3,volumen_operado_lag_1,volumen_operado_lag_2,volumen_operado_lag_3,suma_score_sentimiento_positivas_lag_1,suma_score_sentimiento_positivas_lag_2,suma_score_sentimiento_positivas_lag_3,suma_score_sentimiento_negativas_lag_1,suma_score_sentimiento_negativas_lag_2,suma_score_sentimiento_negativas_lag_3,total_noticias_positivas_lag_1,total_noticias_positivas_lag_2,total_noticias_positivas_lag_3,total_noticias_negativas_lag_1,total_noticias_negativas_lag_2,total_noticias_negativas_lag_3,variacion_porcentaje_media_3d,variacion_porcentaje_std_3d,variacion_porcentaje_media_5d,variacion_porcentaje_std_5d,precio_cierre_media_3d,precio_cierre_std_3d,precio_cierre_media_5d,precio_cierre_std_5d,volumen_operado_media_3d,volumen_operado_std_3d,volumen_operado_media_5d,volumen_operado_std_5d,suma_score_sentimiento_positivas_media_3d,suma_score_sentimiento_positivas_std_3d,suma_score_sentimiento_positivas_media_5d,suma_score_sentimiento_positivas_std_5d,suma_score_sentimiento_negativas_media_3d,suma_score_sentimiento_negativas_std_3d,suma_score_sentimiento_negativas_media_5d,suma_score_sentimiento_negativas_std_5d,total_noticias_positivas_media_3d,total_noticias_positivas_std_3d,total_noticias_positivas_media_5d,total_noticias_positivas_std_5d,total_noticias_negativas_media_3d,total_noticias_negativas_std_3d,total_noticias_negativas_media_5d,total_noticias_negativas_std_5d,ratio_sent_positivo_negativo,diff_score_sentimiento,label_t_plus_1
5042,17,2025-01-28,18.45,17.85,18.65,17.35,626994.62,-1.92307692307692,VISTD,BAJA,-0.6,98,-43.6224,106,44.8591,2025-01-28,neutral,-0.6299999999999993,2025,1,28,1,0,-7.61421319796954,-1.00502512562813,-1.24069478908189,18.2,19.7,19.9,767384.5,395438.16,237155.16,39.2201,29.7869,57.1272,-43.8869,-50.4781,-45.1405,86.0,69.0,122.0,95.0,100.0,94.0,-3.5141050822248636,3.580344913035104,-1.7427912654633197,3.822837631570838,18.583333333333332,0.9827681991871882,19.16,1.0555804090639724,596605.7599999999,187826.06866173746,524431.988,208397.90223038118,37.95536666666667,7.615278459343027,43.792640000000006,10.16693419168234,-45.9958,3.8840378512571907,-47.6512,5.0149824436382335,87.0,18.520259177452054,96.4,20.08233054204615,97.66666666666667,2.516611478423482,101.0,9.797958971132699,-1.0283501372769526,88.4815,SUBE
5043,17,2025-01-29,17.9,18.6,18.7,17.6,475011.06,4.20168067226891,VISTD,SUBE,0.7,115,-56.7593,106,45.3028,2025-01-29,neutral,-0.44499999999999923,2025,1,29,2,0,-1.92307692307692,-7.61421319796954,-1.00502512562813,17.85,18.2,19.7,626994.62,767384.5,395438.16,44.8591,39.2201,29.7869,-43.6224,-43.8869,-50.4781,106.0,86.0,69.0,98.0,95.0,100.0,-1.7785364829258496,5.909272877631734,-1.5162658726975136,4.194719180922202,18.216666666666665,0.37527767497368225,18.85,0.9096702699328222,623130.0599999999,146225.02597829714,500396.7,205101.40962209296,43.12733333333333,3.3910281130262208,43.25922,9.960855900322997,-48.08953333333334,7.509402812696355,-47.97744,5.6374082021794125,99.33333333333333,11.547005383792415,97.8,20.547505931377646,102.66666666666667,10.785793124908933,100.4,8.502940667792508,-0.7981564395289659,102.0621,MANTIENE
5044,17,2025-01-30,18.85,18.6,19.0,18.55,1138914.5,0.0,VISTD,MANTIENE,-0.25,119,-55.5576,94,44.0942,2025-01-30,neutral,-0.1799999999999994,2025,1,30,3,0,4.20168067226891,-1.92307692307692,-7.61421319796954,18.6,17.85,18.2,475011.06,626994.62,767384.5,45.3028,44.8591,39.2201,-56.7593,-43.6224,-43.8869,106.0,106.0,86.0,115.0,98.0,95.0,0.7595345830639971,3.1322250059006564,-1.2681269148811354,4.25140959241278,18.349999999999998,0.43301270189257957,18.59,0.6949820141555076,746973.3933333332,347833.47157639504,680748.568,293275.14555264486,44.75203333333334,0.6113721807003404,40.65262,6.5436821742043305,-51.97976666666668,7.262589340127382,-50.06086,6.221512829127633,102.0,6.928203230275355,92.2,15.498387012847484,110.66666666666667,11.150485789118461,105.4,10.830512453249831,-0.7936664073622044,99.65180000000001,BAJA
5045,17,2025-01-31,18.9,18.4,19.0,18.3,397268.81,-1.07526881720431,VISTD,BAJA,-0.5,105,-52.9198,100,50.9342,2025-01-31,neutral,0.11499999999999988,2025,1,31,4,1,0.0,4.20168067226891,-1.92307692307692,18.6,18.6,17.85,1138914.5,475011.06,626994.62,44.0942,45.3028,44.8591,-55.5576,-56.7593,-43.6224,94.0,106.0,106.0,119.0,115.0,98.0,1.0421372850215338,2.7885635315045394,-1.2821756531963715,4.250438769966218,18.53333333333333,0.11547005383923446,18.330000000000002,0.31543620591117844,670398.1233333332,407604.7850092195,681114.6980000001,292830.7181728155,46.77706666666666,3.650547445703783,44.882079999999995,4.167867029668698,-55.07890000000001,1.9640023752527673,-50.5492,6.3568065186066285,100.0,5.999999999999814,98.4,8.53229160308059,113.0,7.211102550927934,106.4,10.430723848324222,-0.962479090292841,103.854,BAJA
5046,17,2025-02-03,18.05,17.85,18.05,17.5,813635.69,-2.98913043478259,VISTD,BAJA,-0.2,92,-40.0818,104,56.4266,2025-02-03,neutral,-0.02000000000000027,2025,2,3,0,0,-1.07526881720431,0.0,4.20168067226891,18.4,18.6,18.6,397268.81,1138914.5,475011.06,50.9342,44.0942,45.3028,-52.9198,-55.5576,-56.7593,100.0,94.0,106.0,105.0,119.0,115.0,-1.3547997506622995,1.5140437068017256,-0.35715910055898153,2.7751412573788476,18.28333333333333,0.3883726732581081,18.26,0.38307962618708485,783272.9999999999,371753.95368700643,690364.936,296938.8902159371,50.48500000000001,6.178459186561111,48.32338,5.279433169574109,-49.51973333333334,8.279217137708851,-49.78818,7.481985377023917,99.33333333333333,5.033222956846943,102.0,5.099019513592737,105.33333333333333,13.50308606701937,105.8,11.300442469213301,-1.4077861125943971,96.5084,SUBE
5047,17,2025-02-04,17.8,18.15,18.25,17.8,174744.41,1.68067226890756,VISTD,SUBE,0.35,109,-54.8683,90,36.4782,2025-02-04,neutral,-0.16500000000000056,2025,2,4,1,0,-2.98913043478259,-1.07526881720431,0.0,17.85,18.4,18.6,813635.69,397268.81,1138914.5,56.4266,50.9342,44.0942,-40.0818,-52.9198,-55.5576,104.0,100.0,94.0,92.0,105.0,119.0,-0.7945756610264464,2.347521205184711,0.36359073783791446,2.7344511519399015,18.13333333333333,0.27537852736489327,18.32,0.3213253802606309,461882.9699999998,324309.6655503644,599914.8940000001,378692.98167653475,47.946333333333335,10.304376548502802,46.6472,7.512469878808123,-49.289966666666665,8.033798172927419,-52.03736,6.826733178688008,98.0,7.211102550927819,98.8,6.723094525588608,102.0,8.888194417315548,108.0,10.440306508910533,-0.6648319824895611,91.34649999999999,BAJA
5048,17,2025-02-05,18.3,17.85,18.3,17.8,178071.0,-1.65289256198345,VISTD,BAJA,-0.45,109,-48.7367,90,39.5121,2025-02-05,negative,-0.17500000000000002,2025,2,5,2,0,1.68067226890756,-2.98913043478259,-1.07526881720431,18.15,17.85,18.4,174744.41,813635.69,397268.81,36.4782,56.4266,50.9342,-54.8683,-40.0818,-52.9198,90.0,104.0,100.0,109.0,92.0,105.0,-0.9871169092861599,2.4050378869451174,-0.8073239090125576,1.759897540484594,17.95,0.17320508075785318,18.17,0.33279122584532395,388817.03333333315,367907.5085389139,540526.882,423777.68959528767,44.13896666666667,10.748980742532487,45.489059999999995,8.18756090163605,-47.8956,7.429046538419222,-50.432840000000006,6.366756640786555,94.66666666666667,8.082903768654607,95.6,6.228964600958934,103.33333333333333,9.814954576223602,106.8,9.757048734120355,-0.8107258146473973,88.24879999999999,BAJA
5049,17,2025-02-06,17.65,17.8,18.2,17.6,279733.75,-0.280112044817926,VISTD,BAJA,0.15,103,-49.7209,93,39.784,2025-02-06,neutral,-0.1199999999999996,2025,2,6,3,0,-1.65289256198345,1.68067226890756,-2.98913043478259,17.85,18.15,17.85,178071.0,174744.41,813635.69,39.5121,36.4782,56.4266,-48.7367,-54.8683,-40.0818,90.0,90.0,104.0,109.0,109.0,92.0,-0.0841107792979384,1.675403232807712,-0.8633463179761428,1.7320107762488617,17.933333333333334,0.1892969448608946,18.009999999999998,0.25836021365455675,210849.71999999986,59678.50318195531,368690.732,264885.4114911873,38.59143333333333,1.8351563266745936,44.62702,8.588235040565632,-51.10863333333334,3.2929443501723323,-49.2655,5.69149893745046,91.0,1.7320508075680876,95.4,6.308724118234961,107.0,3.464101615137658,103.6,6.985699678629165,-0.8001464333941347,89.50489999999999,SUBE
5050,17,2025-02-07,18.1,18.25,19.0,17.5,524839.94,2.52808988764044,VISTD,SUBE,0.15,117,-54.0479,95,42.9884,2025-02-07,neutral,0.04499999999999993,2025,2,7,4,0,-0.280112044817926,-1.65289256198345,1.68067226890756,17.8,17.85,18.15,279733.75,178071.0,174744.41,39.784,39.5121,36.4782,-49.7209,-48.7367,-54.8683,93.0,90.0,90.0,103.0,109.0,109.0,0.19836176027968824,2.131163167765268,-0.14267457700719294,2.283611991785194,17.966666666666665,0.24664414311648833,17.98,0.2049390153182835,327548.2299999998,178260.60364094592,394204.958,274302.8047880573,40.761500000000005,1.933337815799568,43.037859999999995,7.831164231325977,-50.83516666666667,2.825491817955218,-49.49112,5.89142512402557,92.66666666666667,2.5166114784230595,94.4,5.77061521850136,109.66666666666667,7.023769168568443,106.0,9.273618495495683,-0.7953759682684427,97.0363,BAJA
5051,17,2025-02-10,17.85,17.85,18.3,17.8,240239.59,-2.1917808219178,VISTD,BAJA,0.0,85,-40.4259,122,62.1139,2025-02-10,neutral,-0.019999999999999577,2025,2,10,0,0,2.52808988764044,-0.280112044817926,-1.65289256198345,18.25,17.8,17.85,524839.94,279733.75,178071.0,42.9884,39.784,39.5121,-54.0479,-49.7209,-48.7367,95.0,93.0,90.0,117.0,103.0,109.0,0.018732340301571487,2.3740842136758,0.016795345565765098,2.051152547212251,17.966666666666665,0.24664414311648833,17.98,0.2049390153182835,348271.09333333315,154182.8958685908,279525.738,144043.99758117105,48.295433333333335,12.073920680679272,44.17532,10.28927111009324,-48.0649,6.960350063035524,-49.55994,5.7544502298655535,103.33333333333333,16.196707484341726,98.0,13.583077707206106,101.66666666666667,16.041612554021267,104.6,12.033287165193041,-1.536487784724342,102.5398,BAJA
